Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,Company_grouped_filtered,Difference in days,Delay_Class
1195600,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,GA,30318,2015-01-15,2015-01-15,Transworld Systems Inc.,Closed with explanation,Yes,No,Transworld Systems Inc.,0,0
1195088,Credit reporting,Unknown,Improper use of my credit report,CA,92869,2015-01-15,2015-01-15,Experian,Closed with explanation,Yes,No,Experian,0,0
1195242,Credit reporting,Unknown,Incorrect information on credit report,SC,29016,2015-01-15,2015-01-15,Experian,Closed with explanation,Yes,No,Experian,0,0
1195138,Debt collection,Credit card,Disclosure verification of debt,CA,92680,2015-01-15,2015-01-15,Capital One,Closed with explanation,Yes,No,Capital One,0,0
1195181,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",PA,18951,2015-01-15,2015-01-15,Bank of America,Closed with explanation,Yes,No,Bank of America,0,0
1195102,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,CO,80922,2015-01-15,2015-02-25,"National Credit Systems,Inc.",Closed with explanation,Yes,No,Low Count Companies,41,3
1195135,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,CA,90805,2015-01-15,2015-01-21,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,No,"Portfolio Recovery Associates, Inc.",6,1
1195100,Credit reporting,Unknown,Unable to get credit report/credit score,VA,22039,2015-01-15,2015-02-06,Equifax,Closed with non-monetary relief,Yes,No,Equifax,22,3
1195103,Debt collection,Credit card,Cont'd attempts collect debt not owed,FL,34221,2015-01-15,2015-01-22,"Pollack & Rosen, P.A.",In progress,Yes,Pending,Low Count Companies,7,1
1195134,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,CA,92507,2015-01-15,2015-01-16,U.S. Bancorp,Closed with explanation,Yes,No,U.S. Bancorp,1,0
1195129,Debt collection,Credit card,Communication tactics,CA,90036,2015-01-15,2015-01-15,Allied Interstate LLC,Closed with non-monetary relief,Yes,No,Allied Interstate LLC,0,0
1195119,Credit reporting,Unknown,Incorrect information on credit report,CA,94531,2015-01-15,2015-01-28,Equifax,Closed with explanation,Yes,Yes,Equifax,13,2
1195118,Credit reporting,Unknown,Incorrect information on credit report,CA,94531,2015-01-15,2015-01-28,TransUnion,Closed with explanation,Yes,No,TransUnion,13,2
1195120,Credit reporting,Unknown,Incorrect information on credit report,CA,94531,2015-01-15,2015-01-28,Experian,Closed with explanation,Yes,No,Experian,13,2
1195179,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",NJ,08077,2015-01-15,2015-01-15,Bank of America,Closed with non-monetary relief,Yes,No,Bank of America,0,0
1195144,Bank account or service,Checking account,Using a debit or ATM card,NJ,07939,2015-01-15,2015-01-21,PNC Bank,Closed,Yes,No,PNC Bank,6,1
1195139,Debt collection,Credit card,Disclosure verification of debt,CA,92680,2015-01-15,2015-01-15,"Legal Recovery Law Offices, Inc",Closed with explanation,Yes,No,Low Count Companies,0,0
